src,trg
"black leather dressed other rodeo . a dress while wearing sunglasses . how is rodeo ?","G.add_edge(' leather ',' dressed ') newline G.add_edge(' leather ',' black ') newline G.add_edge(' rodeo ',' other ') newline G.add_edge(' dress ',' sunglasses ',action=' wearing ') newline G.add_edge(' dress ',' wearing ') newline G.has_edge(' rodeo ',' other ') newline"
"young guys watching frying something . blond woman wearing hot pink .","G.add_edge(' guys ',' watching ') newline G.add_edge(' guys ',' young ') newline G.add_edge(' something ',' frying ') newline G.add_edge(' woman ',' wearing ') newline G.add_edge(' woman ',' blond ') newline G.add_edge(' pink ',' hot ') newline"
"men play baseball . beach looking out .","G.add_edge(' men ',' baseball ',action=' play ') newline G.add_edge(' men ',' play ') newline G.add_edge(' beach ',' out ',action=' looking ') newline G.add_edge(' beach ',' looking ') newline"
"kitchenaid mixing wooden bowl . people act out . how is kitchenaid ? how is bowl ? does people are ?","G.add_edge(' kitchenaid ',' mixing ') newline  G.add_edge(' bowl ',' wooden ') newline G.add_edge(' people ',' out ',action=' act ') newline G.add_edge(' people ',' act ') newline  G.has_edge(' bowl ',' wooden ') newline G.has_edge(' people ',' are ') newline"
"elderly women unpacking frying something . how is something ?","G.add_edge(' women ',' unpacking ') newline G.add_edge(' women ',' elderly ') newline G.add_edge(' something ',' frying ') newline G.has_edge(' something ',' frying ') newline"
"player falls forward . does player catching ?","G.add_edge(' player ',' forward ',action=' falls ') newline G.add_edge(' player ',' falls ') newline G.has_edge(' player ',' catching ') newline"
"person the setting up . does person hiking ?","G.add_edge(' person ',' up ',action=' setting ') newline G.add_edge(' person ',' setting ') newline G.has_edge(' person ',' hiking ') newline"
"shirt jumps off . shoppers walking down . is there a relation between shoppers and down ?","G.add_edge(' shirt ',' off ',action=' jumps ') newline G.add_edge(' shirt ',' jumps ') newline G.add_edge(' shoppers ',' down ',action=' walking ') newline G.add_edge(' shoppers ',' walking ') newline G.has_edge(' shoppers ',' down ') newline"
"young girl wearing long pink .","G.add_edge(' girl ',' wearing ') newline G.add_edge(' girl ',' young ') newline G.add_edge(' pink ',' long ') newline"
"boy walks around . a hat some hold up . old man holding yellow sign . is there a relation between boy and around ? is there a relation between hat and up ?","G.add_edge(' boy ',' around ',action=' walks ') newline G.add_edge(' boy ',' walks ') newline G.add_edge(' hat ',' up ',action=' hold ') newline G.add_edge(' hat ',' hold ') newline G.add_edge(' man ',' holding ') newline G.add_edge(' man ',' old ') newline G.add_edge(' sign ',' yellow ') newline G.has_edge(' boy ',' around ') newline G.has_edge(' hat ',' up ') newline"
"woman gets cash . large fans wearing teal . all ages carve out . how is teal ?","G.add_edge(' woman ',' cash ',action=' gets ') newline G.add_edge(' woman ',' gets ') newline G.add_edge(' fans ',' wearing ') newline G.add_edge(' fans ',' large ') newline  G.add_edge(' ages ',' out ',action=' carve ') newline G.add_edge(' ages ',' carve ') newline "
"paddlers while wearing orange .","G.add_edge(' paddlers ',' orange ',action=' wearing ') newline G.add_edge(' paddlers ',' wearing ') newline"
"of participants throw confetti . a t-shirt performing tricks . is there a relation between participants and confetti ?","G.add_edge(' participants ',' confetti ',action=' throw ') newline G.add_edge(' participants ',' throw ') newline G.add_edge(' t-shirt ',' tricks ',action=' performing ') newline G.add_edge(' t-shirt ',' performing ') newline G.has_edge(' participants ',' confetti ') newline"
"sandals sits down . brown horse hauling green trailer . is there a relation between sandals and down ? how is trailer ?","G.add_edge(' sandals ',' down ',action=' sits ') newline G.add_edge(' sandals ',' sits ') newline G.add_edge(' horse ',' hauling ') newline G.add_edge(' horse ',' brown ') newline G.add_edge(' trailer ',' green ') newline G.has_edge(' sandals ',' down ') newline G.has_edge(' trailer ',' green ') newline"
"a woman show support . of people preparing coffee . is there a woman ? does people preparing ?","G.add_edge(' woman ',' support ',action=' show ') newline G.add_edge(' woman ',' show ') newline G.add_edge(' people ',' coffee ',action=' preparing ') newline G.add_edge(' people ',' preparing ') newline G.has_node(' woman ') newline G.has_edge(' people ',' preparing ') newline"
"dog play together . plastic wading pool . does dog play ?","G.add_edge(' dog ',' together ',action=' play ') newline G.add_edge(' dog ',' play ') newline G.add_edge(' plastic ',' pool ',action=' wading ') newline G.add_edge(' plastic ',' wading ') newline G.has_edge(' dog ',' play ') newline"
"full santa attired black play . how is play ?","G.add_edge(' santa ',' attired ') newline G.add_edge(' santa ',' full ') newline G.add_edge(' play ',' black ') newline G.has_edge(' play ',' black ') newline"
"vest spits fire .","G.add_edge(' vest ',' fire ',action=' spits ') newline G.add_edge(' vest ',' spits ') newline"
"a child is asleep . other horses play blue polo . is there a child ?","G.add_edge(' child ',' asleep ',action=' is ') newline G.add_edge(' child ',' is ') newline G.add_edge(' horses ',' play ') newline G.add_edge(' horses ',' other ') newline G.add_edge(' polo ',' blue ') newline G.has_node(' child ') newline"
"white males playing squash . individuals sit contently . woman while wearing with glasses . how is males ? how is squash ? is there a relation between individuals and contently ? does woman wearing ?","G.add_edge(' males ',' playing ') newline G.add_edge(' males ',' white ') newline  G.add_edge(' individuals ',' contently ',action=' sit ') newline G.add_edge(' individuals ',' sit ') newline G.add_edge(' woman ',' glasses ',action=' wearing ') newline G.add_edge(' woman ',' wearing ') newline G.has_edge(' males ',' white ') newline  G.has_edge(' individuals ',' contently ') newline G.has_edge(' woman ',' wearing ') newline"
"shorts climbing steps . a man wearing in orange . around horses chase down . is there a man ?","G.add_edge(' shorts ',' steps ',action=' climbing ') newline G.add_edge(' shorts ',' climbing ') newline G.add_edge(' man ',' orange ',action=' wearing ') newline G.add_edge(' man ',' wearing ') newline G.add_edge(' horses ',' down ',action=' chase ') newline G.add_edge(' horses ',' chase ') newline G.has_node(' man ') newline"
"the singer up sings passionately .","G.add_edge(' singer ',' passionately ',action=' sings ') newline G.add_edge(' singer ',' sings ') newline"
"gloves cleans dishes . with hair in standing up . is there a hair ?","G.add_edge(' gloves ',' dishes ',action=' cleans ') newline G.add_edge(' gloves ',' cleans ') newline G.add_edge(' hair ',' up ',action=' standing ') newline G.add_edge(' hair ',' standing ') newline G.has_node(' hair ') newline"
"another man playing cricket . of dogs racing madly . is there a man ?","G.add_edge(' man ',' cricket ',action=' playing ') newline G.add_edge(' man ',' playing ') newline G.add_edge(' dogs ',' madly ',action=' racing ') newline G.add_edge(' dogs ',' racing ') newline G.has_node(' man ') newline"
"dancers perform outdoors . enjoyable event takes public place .","G.add_edge(' dancers ',' outdoors ',action=' perform ') newline G.add_edge(' dancers ',' perform ') newline G.add_edge(' event ',' takes ') newline G.add_edge(' event ',' enjoyable ') newline G.add_edge(' place ',' public ') newline"
"young woman wearing orange sunglasses . couple people wearing white hats . how is hats ?","G.add_edge(' woman ',' wearing ') newline G.add_edge(' woman ',' young ') newline G.add_edge(' sunglasses ',' orange ') newline G.add_edge(' people ',' wearing ') newline G.add_edge(' people ',' couple ') newline G.add_edge(' hats ',' white ') newline G.has_edge(' hats ',' white ') newline"
"coat buried up . trained police arresting past someone . how is someone ?","G.add_edge(' coat ',' up ',action=' buried ') newline G.add_edge(' coat ',' buried ') newline G.add_edge(' police ',' arresting ') newline G.add_edge(' police ',' trained ') newline G.add_edge(' someone ',' past ') newline G.has_edge(' someone ',' past ') newline"
